joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-3.679934,-3.705672,0.000000,0.290376,0.000000,0.350981,0.208490,0.311196,0.487718,4.301173,4.042268,-2.119678,-2.915996,-1.136762,-1.059243,1.157892,-0.400493,0.159147,0.000000,-0.828034,1.056588,-0.439048,-0.278929,-0.326840,0.211389,0.000000,0.000000,0.161302,-0.085056
-3.661656,-3.659511,-0.128724,0.300050,-0.157192,0.330897,0.186618,0.222437,0.514780,4.220676,3.962809,-1.885664,-2.598280,-0.993210,-0.926864,1.008427,-0.189692,0.133073,-0.079337,-0.769597,0.998503,-0.409082,-0.158378,-0.292225,0.215518,-0.077789,-0.049316,0.150215,-0.074647
-3.652573,-3.636461,-0.144305,0.304890,-0.202099,0.320858,0.175685,0.178062,0.528322,4.180491,3.923124,-1.768678,-2.439451,-0.921443,-0.860700,0.933719,-0.084287,0.120038,-0.037649,-0.740391,0.969481,-0.394106,-0.098124,-0.274919,0.217585,-0.029000,-0.042818,0.144673,-0.107436
-3.569967,-3.532869,-0.246493,0.207089,-0.361773,0.157157,0.192556,0.214294,0.606799,3.975958,3.827375,-1.524025,-2.098751,-0.553507,-0.669479,0.709605,0.082847,0.123554,-0.088722,-0.704199,1.098710,-0.364032,0.112179,-0.217983,0.220837,0.000000,0.000000,0.132001,0.000000
-3.572446,-3.513658,-0.262856,0.197692,-0.341618,0.139665,0.172590,0.194694,0.624573,3.918737,3.766954,-1.491994,-1.915395,-0.454727,-0.570539,0.663781,0.125232,0.147411,-0.111622,-0.722307,0.855589,-0.319821,0.152978,-0.206354,0.208058,-0.034194,-0.038925,0.134166,-0.078048
-3.577375,-3.475195,-0.295579,0.178895,-0.301303,0.000000,0.000000,0.155491,0.660120,3.804237,3.646016,-1.427925,-1.548624,-0.257152,-0.372639,0.572127,0.210038,0.195127,-0.157425,-0.758475,0.369340,-0.231400,0.234589,-0.183086,0.182498,0.000000,0.000000,0.138497,0.000000
-3.557324,-3.410387,-0.278249,0.148500,-0.271941,-0.008850,-0.020085,0.092681,0.661243,3.681010,3.513342,-1.405549,-1.131105,-0.127921,-0.176921,0.433987,0.119814,0.182957,-0.228731,-0.860906,0.123101,-0.121632,0.215620,-0.173834,0.132552,-0.029420,-0.032396,0.128276,-0.071197
-3.547341,-3.377998,-0.269587,0.130081,-0.257261,-0.065611,-0.096451,0.089170,0.661816,3.619456,3.447050,-1.394379,-0.922346,-0.063300,-0.079075,0.364912,0.039914,0.176873,-0.264384,-0.912106,0.000000,-0.066757,0.206143,-0.169212,0.107580,-0.026228,-0.029882,0.123167,-0.031142
-1.478159,-1.407361,-0.143974,0.000000,-0.252566,0.067177,-0.103061,0.000000,1.268321,2.551425,2.464736,-1.249325,-0.615180,-0.307786,-0.305277,0.000000,0.000000,0.121226,-0.223186,-0.683439,0.000000,0.091496,0.197944,-0.170246,0.075699,0.000000,0.000000,0.086921,0.000000
-0.985426,-0.938213,-0.127546,-0.055308,-0.248950,0.103612,-0.111501,0.054487,1.470386,2.149892,2.099872,-1.144648,-0.607264,-0.399494,-0.377831,-0.073206,-0.063658,0.105252,-0.181047,-0.455612,0.000000,0.091949,0.195688,-0.164889,0.075359,-0.002991,-0.035511,0.102095,-0.043719
