joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.327767,-0.038845,0.125171,0.038389,-0.151104,-0.120574,-0.032294,-0.146042,0.035349,0.364186,0.287615,0.247044,0.180754,-0.217572,-0.252907,0.366886,-0.287053,-0.123107,0.047770,-0.100215,0.246642,1.147548,0.936205,-0.013460,-0.090672,-0.218200,-0.266713,0.004619,0.087088
-0.338203,-0.034044,0.128545,0.037534,-0.152307,-0.124956,-0.033175,-0.158503,0.035232,0.369802,0.264861,0.240553,0.173453,-0.213091,-0.269603,0.360521,-0.285980,-0.132114,0.051323,-0.099948,0.250795,1.149244,0.925566,-0.013304,-0.094243,-0.218210,-0.265714,0.004428,0.084521
-0.344291,-0.029576,0.132612,0.040157,-0.149558,-0.124956,-0.034762,-0.166010,0.036894,0.369802,0.245200,0.231577,0.168898,-0.205108,-0.280138,0.353342,-0.284345,-0.141379,0.054074,-0.096245,0.252407,1.149244,0.915535,-0.010117,-0.099673,-0.219427,-0.265714,0.004428,0.081953
-0.343785,-0.026139,0.137203,0.046616,-0.142706,-0.121733,-0.036059,-0.167692,0.039625,0.361601,0.228257,0.220254,0.166062,-0.193278,-0.283649,0.344671,-0.282405,-0.150981,0.052186,-0.090113,0.253121,1.149596,0.908467,-0.007774,-0.104643,-0.220101,-0.265051,0.005451,0.078490
-0.339983,-0.023218,0.142057,0.054993,-0.133803,-0.116343,-0.036974,-0.166460,0.042890,0.347808,0.212673,0.207758,0.164086,-0.179525,-0.283957,0.335256,-0.279416,-0.160752,0.047978,-0.082766,0.253296,1.149855,0.903571,-0.005853,-0.110022,-0.219915,-0.265067,0.007033,0.074580
-0.329992,-0.021690,0.144613,0.069192,-0.118858,-0.104145,-0.036974,-0.159175,0.046820,0.325807,0.201420,0.195755,0.162745,-0.167167,-0.278865,0.323748,-0.279416,-0.174106,0.041182,-0.078302,0.255233,1.147342,0.903571,-0.005853,-0.110022,-0.219915,-0.265067,0.007033,0.072138
-0.319036,-0.021534,0.145736,0.084223,-0.103781,-0.090526,-0.035759,-0.152168,0.050480,0.302621,0.193186,0.184508,0.161018,-0.160618,-0.274299,0.311747,-0.279419,-0.185088,0.034336,-0.075925,0.258079,1.144051,0.905690,-0.005653,-0.111451,-0.219174,-0.264190,0.008746,0.069609
-0.306149,-0.024125,0.143995,0.100917,-0.088439,-0.074065,-0.031672,-0.145718,0.053600,0.277064,0.190991,0.174771,0.161018,-0.165684,-0.270783,0.298759,-0.279419,-0.191327,0.027393,-0.077722,0.262747,1.139205,0.909973,-0.003810,-0.113822,-0.219174,-0.262241,0.011132,0.069609
-0.294698,-0.027670,0.138377,0.115910,-0.075664,-0.058925,-0.022492,-0.139823,0.056986,0.257436,0.193282,0.167829,0.159323,-0.179822,-0.268902,0.287534,-0.281592,-0.192262,0.019574,-0.083158,0.267641,1.132518,0.914953,-0.000196,-0.116154,-0.218632,-0.260257,0.013936,0.067167
-0.283964,-0.031692,0.130823,0.130051,-0.064172,-0.044446,-0.010764,-0.134205,0.060505,0.240773,0.197815,0.162285,0.158462,-0.198495,-0.267778,0.277189,-0.284205,-0.190547,0.011319,-0.090414,0.272647,1.124909,0.920284,0.004303,-0.118465,-0.218862,-0.258255,0.016949,0.064856
-0.280042,-0.035462,0.117767,0.132194,-0.059037,-0.036298,0.000315,-0.128001,0.065136,0.252100,0.203125,0.158833,0.154697,-0.215856,-0.267778,0.271584,-0.284205,-0.206626,0.004763,-0.104693,0.275617,1.117911,0.927088,0.009872,-0.115954,-0.218862,-0.256264,0.019586,0.061220
-0.273875,-0.037563,0.103960,0.129916,-0.054782,-0.028604,0.004791,-0.121461,0.069637,0.267123,0.207287,0.155797,0.151384,-0.236269,-0.266484,0.266502,-0.285229,-0.218253,-0.001065,-0.119619,0.276759,1.112273,0.933810,0.015645,-0.113386,-0.219347,-0.253940,0.022015,0.057781
-0.263216,-0.036322,0.088651,0.118799,-0.052286,-0.021815,-0.003937,-0.114250,0.073877,0.289539,0.209151,0.153593,0.148977,-0.262784,-0.263846,0.262469,-0.285229,-0.220974,-0.005436,-0.135840,0.274246,1.112273,0.940367,0.021825,-0.110703,-0.219347,-0.250953,0.024026,0.054734
