body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.088383,0.082395,0.529060,0.559182,0.019444,0.486087,-0.444029,-0.146548,0.414081,0.196793,-0.267126,0.413337,1.616904,-0.193454,0.433840,-1.919745,-0.085316,0.008154,-0.594956,-0.052602,0.040344,-0.389538,-0.305170,0.667931,-0.579261,0.462545,0.575756,4.335649,0.471830,0.193622,4.964908,-0.291782,1.706942,-0.100579,-1.357595,0.989113,0.928690,-1.102094,0.561416,2.043705,-0.355982,-2.421653
-0.057781,0.145270,0.200355,0.394795,0.107092,0.170834,-0.397553,-0.136826,0.457156,0.219273,-0.315161,0.448284,2.008080,-0.153298,0.072765,-2.144531,-0.077003,-0.106358,-0.990164,-0.096565,-0.074802,-0.444146,-0.294713,0.217467,-0.428464,0.770561,0.016200,4.911448,0.809066,-0.587248,5.494996,0.096349,1.056933,0.277485,-1.505535,0.710828,1.744786,-1.102199,0.293108,3.110001,-0.224233,-3.517733
0.005507,0.186168,-0.186470,0.154626,0.180857,-0.193389,-0.332515,-0.117470,0.437976,0.228264,-0.322836,0.423568,2.280488,-0.089150,-0.334655,-2.216761,-0.052603,-0.271879,-1.446743,-0.134922,-0.245289,-0.454084,-0.237465,-0.317824,-0.079163,1.144114,-0.662823,5.227388,1.177613,-1.473183,5.726948,0.462343,0.188302,0.780872,-1.551944,0.355646,2.649782,-0.995548,0.082585,4.096617,0.032563,-4.218205
0.085819,0.191438,-0.601345,-0.149479,0.231149,-0.577993,-0.245681,-0.083827,0.354052,0.211917,-0.289497,0.336165,2.424511,-0.005029,-0.745874,-2.117236,-0.002832,-0.491897,-1.881343,-0.135629,-0.474881,-0.417277,-0.134818,-0.879088,0.442330,1.528744,-1.380655,5.287090,1.519971,-2.362735,5.702190,0.700577,-0.753319,1.397524,-1.461543,-0.035220,3.521905,-0.780634,0.018941,4.845963,0.367215,-4.213706
0.159414,0.161922,-1.013910,-0.493500,0.257266,-0.958183,-0.137046,-0.033780,0.223131,0.168845,-0.227417,0.202433,2.464783,0.095589,-1.121346,-1.846381,0.078844,-0.752691,-2.159205,-0.061664,-0.750239,-0.345107,0.000674,-1.400618,1.083329,1.849041,-2.050888,5.150786,1.780379,-3.169398,5.499742,0.767921,-1.650168,2.077149,-1.217906,-0.415034,4.249747,-0.465436,0.170354,5.300061,0.708168,-3.423061
0.208001,0.112843,-1.402045,-0.847637,0.265059,-1.319764,-0.014885,0.029568,0.073703,0.109376,-0.153006,0.050053,2.435299,0.211159,-1.436761,-1.410793,0.190755,-1.028523,-2.127506,0.103674,-1.045440,-0.256955,0.150907,-1.830454,1.783181,2.035534,-2.611715,4.902834,1.924974,-3.844618,5.197013,0.693868,-2.454435,2.741552,-0.829269,-0.744156,4.782446,-0.063170,0.567292,5.517222,1.013389,-2.021308
0.226857,0.066024,-1.753512,-1.182960,0.260829,-1.657534,0.104360,0.097370,-0.067737,0.050730,-0.077553,-0.093810,2.359468,0.334796,-1.688833,-0.825136,0.318930,-1.302019,-1.690276,0.328613,-1.340235,-0.172918,0.298297,-2.144289,2.484310,2.048299,-3.042626,4.619269,1.951439,-4.385210,4.851096,0.562334,-3.182070,3.309664,-0.332072,-0.997244,5.146250,0.403362,1.200194,5.626098,1.294772,-0.314292
0.223569,0.039909,-2.059958,-1.474907,0.246782,-1.966201,0.200427,0.157824,-0.184345,0.006665,-0.004311,-0.210636,2.247627,0.444899,-1.891821,-0.129375,0.438786,-1.583474,-0.880505,0.531162,-1.638422,-0.107357,0.428141,-2.345843,3.134519,1.883656,-3.359416,4.349437,1.882312,-4.817526,4.498687,0.465313,-3.867384,3.724447,0.210552,-1.163888,5.416324,0.893915,2.021731,5.751226,1.589640,1.421387
0.212193,0.043502,-2.310268,-1.704028,0.222032,-2.232196,0.253518,0.201385,-0.269164,-0.020621,0.067472,-0.292191,2.104519,0.509326,-2.065434,0.602467,0.524781,-1.904250,0.135870,0.617064,-1.964555,-0.064776,0.527499,-2.458905,3.686369,1.565025,-3.597180,4.114389,1.747200,-5.169740,4.160610,0.444279,-4.517527,3.968320,0.720196,-1.248077,5.669242,1.353245,2.945478,5.956894,1.909829,3.012303
0.207083,0.076140,-2.489952,-1.855462,0.187608,-2.433861,0.246372,0.224968,-0.321482,-0.038415,0.136231,-0.338053,1.934650,0.507643,-2.218579,1.279992,0.563307,-2.280699,1.138205,0.534761,-2.333861,-0.039138,0.584439,-2.518877,4.097957,1.129059,-3.794614,3.914252,1.565308,-5.453122,3.842217,0.462813,-5.101273,4.057938,1.125116,-1.270079,5.948914,1.731135,3.847281,6.237055,2.218864,4.357993
