body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.394712,-0.304419,-0.067948,-0.424016,-0.521066,-0.127803,-0.305101,-0.609957,-0.143341,0.038315,-0.296688,-0.398960,-0.274431,-0.188392,-0.006393,-0.209044,-0.126589,0.029797,-0.009801,-0.022711,-0.022192,-0.410904,-0.277755,-0.066137,-0.671887,-0.205551,-0.170965,-0.593743,-0.512576,-0.447332,-0.673143,-0.623529,-0.592998,-0.372320,0.137951,0.028474,-0.283433,0.285855,-0.063573,-0.463202,-0.025577,-0.322850
-0.398043,-0.319866,-0.059042,-0.414833,-0.515919,-0.115297,-0.281251,-0.522554,-0.128919,0.010101,-0.230651,-0.343247,-0.285467,-0.202608,-0.000884,-0.222071,-0.147490,0.032662,0.001455,-0.034809,-0.021016,-0.415261,-0.296489,-0.057679,-0.695323,-0.240593,-0.167650,-0.609505,-0.588207,-0.443317,-0.738103,-0.697789,-0.603268,-0.383459,0.148865,0.032826,-0.272534,0.303789,-0.053102,-0.452446,-0.005201,-0.285533
-0.388299,-0.327577,-0.041333,-0.395195,-0.499695,-0.092298,-0.257215,-0.441314,-0.103870,-0.018129,-0.173704,-0.282801,-0.286954,-0.213040,0.011306,-0.231310,-0.171168,0.038391,0.020414,-0.054491,-0.016173,-0.405806,-0.307788,-0.040355,-0.704787,-0.271763,-0.155038,-0.604682,-0.657519,-0.428748,-0.779567,-0.770368,-0.602230,-0.387323,0.161780,0.046353,-0.258755,0.324362,-0.034302,-0.437090,0.017921,-0.242181
-0.366651,-0.329300,-0.017555,-0.366727,-0.477950,-0.062262,-0.231260,-0.374461,-0.071404,-0.036801,-0.128662,-0.222960,-0.277489,-0.217765,0.028136,-0.236916,-0.196098,0.044408,0.045186,-0.084330,-0.009495,-0.384079,-0.313572,-0.016915,-0.700943,-0.301753,-0.135185,-0.583303,-0.723101,-0.403022,-0.799862,-0.845566,-0.589188,-0.384682,0.172756,0.066476,-0.245580,0.341330,-0.009270,-0.420586,0.040879,-0.193732
-0.335465,-0.325615,0.008870,-0.331317,-0.455655,-0.030001,-0.203360,-0.326302,-0.036417,-0.041177,-0.094663,-0.170061,-0.256710,-0.214150,0.047581,-0.238958,-0.219488,0.048697,0.073445,-0.128954,-0.002091,-0.352841,-0.314319,0.009200,-0.685080,-0.332279,-0.110383,-0.550205,-0.784627,-0.365531,-0.801348,-0.924294,-0.562969,-0.377098,0.178343,0.089746,-0.236007,0.347825,0.019940,-0.404703,0.061297,-0.140640
-0.297734,-0.316188,0.035139,-0.291014,-0.435901,0.000455,-0.175095,-0.295530,-0.003065,-0.033298,-0.069168,-0.127055,-0.225897,-0.199990,0.068194,-0.236289,-0.238402,0.050733,0.102935,-0.195066,0.006634,-0.315285,-0.309321,0.035181,-0.659033,-0.363875,-0.082303,-0.509048,-0.839464,-0.316914,-0.786343,-1.003751,-0.523314,-0.366047,0.177057,0.113309,-0.230141,0.340283,0.051674,-0.388263,0.079355,-0.083594
-0.256974,-0.300688,0.059309,-0.248550,-0.419894,0.026749,-0.148892,-0.277262,0.026201,-0.019520,-0.049801,-0.093285,-0.188464,-0.174599,0.088668,-0.226308,-0.250993,0.051073,0.131093,-0.288875,0.018685,-0.274834,-0.297752,0.059083,-0.625496,-0.396436,-0.052246,-0.461815,-0.884981,-0.260347,-0.757799,-1.079030,-0.472215,-0.352873,0.169699,0.135238,-0.225623,0.320435,0.084028,-0.368231,0.097513,-0.024806
-0.216821,-0.279591,0.079789,-0.207172,-0.407691,0.047767,-0.126844,-0.266065,0.050196,-0.006116,-0.035005,-0.066698,-0.149304,-0.139228,0.107183,-0.206630,-0.257028,0.050162,0.154923,-0.411503,0.036197,-0.234844,-0.279669,0.079331,-0.587664,-0.429717,-0.021929,-0.409485,-0.920379,-0.201305,-0.719079,-1.145163,-0.413654,-0.338906,0.158511,0.153996,-0.219687,0.294114,0.114240,-0.341882,0.118250,0.031561
-0.180005,-0.254517,0.094989,-0.169413,-0.398943,0.062834,-0.109693,-0.257761,0.068214,0.003564,-0.023855,-0.045766,-0.112964,-0.096878,0.121393,-0.177860,-0.257657,0.047477,0.172159,-0.555405,0.060149,-0.197785,-0.256516,0.094349,-0.547953,-0.463468,0.006159,-0.352850,-0.946809,-0.145734,-0.672798,-1.198494,-0.352103,-0.324987,0.145893,0.167920,-0.210510,0.268158,0.138871,-0.308202,0.141845,0.080269
-0.147461,-0.227919,0.103552,-0.135909,-0.393123,0.071462,-0.096603,-0.249848,0.079774,0.009079,-0.015719,-0.029931,-0.081988,-0.051696,0.129129,-0.144781,-0.255129,0.041610,0.182898,-0.705240,0.089820,-0.164489,-0.230859,0.102789,-0.506870,-0.497138,0.029249,-0.292906,-0.965948,-0.098010,-0.620116,-1.237159,-0.291318,-0.310838,0.133509,0.175361,-0.197187,0.247669,0.154786,-0.267865,0.166120,0.116675
