body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.052575,-0.086835,-0.014852,-0.047608,-0.072605,-0.011769,-0.023798,-0.048117,-0.011556,-0.002329,0.003775,-0.005085,-0.047422,-0.053709,-0.021187,-0.024527,-0.130713,-0.022758,-0.003112,-0.000026,0.004698,-0.053217,-0.100412,-0.013009,-0.083666,-0.196381,-0.011659,-0.074814,-0.225853,-0.008396,-0.101652,-0.269234,-0.002781,-0.069892,-0.074695,-0.023011,-0.072375,0.077469,-0.010101,-0.102850,0.187840,-0.029548
-0.060700,-0.103443,-0.015740,-0.053953,-0.086347,-0.011051,-0.028515,-0.049158,-0.009772,-0.002648,0.002468,-0.003413,-0.053753,-0.069209,-0.023280,-0.028338,-0.128893,-0.023894,-0.004645,-0.001502,0.004123,-0.061903,-0.117307,-0.013926,-0.093660,-0.210492,-0.012231,-0.085859,-0.245448,-0.008886,-0.113851,-0.294962,-0.001904,-0.078513,-0.085975,-0.023669,-0.082444,0.075874,-0.007005,-0.122627,0.218337,-0.029938
-0.069441,-0.119299,-0.017395,-0.061677,-0.100875,-0.011769,-0.031741,-0.059164,-0.010236,-0.002402,0.001005,-0.002483,-0.061429,-0.084111,-0.025508,-0.032251,-0.128050,-0.025336,-0.005016,-0.003081,0.003408,-0.071036,-0.133248,-0.015638,-0.103832,-0.223598,-0.013693,-0.096461,-0.262440,-0.010151,-0.125240,-0.316966,-0.001890,-0.087523,-0.098636,-0.025168,-0.093149,0.071483,-0.004340,-0.140819,0.245368,-0.029366
-0.078599,-0.134156,-0.020114,-0.070982,-0.116588,-0.014568,-0.033362,-0.080262,-0.013732,-0.001935,-0.000595,-0.002416,-0.070627,-0.097925,-0.027843,-0.036753,-0.127905,-0.027001,-0.004817,-0.004513,0.002660,-0.080304,-0.147918,-0.018451,-0.114112,-0.235625,-0.016258,-0.106176,-0.276457,-0.012347,-0.135349,-0.334787,-0.002929,-0.096818,-0.111898,-0.027931,-0.104336,0.065090,-0.002618,-0.157051,0.267538,-0.027881
-0.088014,-0.147874,-0.023959,-0.082076,-0.133720,-0.019837,-0.033111,-0.115184,-0.020786,-0.001487,-0.002506,-0.002798,-0.081524,-0.110246,-0.030050,-0.042295,-0.128007,-0.028601,-0.004769,-0.005687,0.002124,-0.089456,-0.161193,-0.022423,-0.124485,-0.246345,-0.019844,-0.114651,-0.287027,-0.015351,-0.143732,-0.348004,-0.004906,-0.106318,-0.124744,-0.032105,-0.115683,0.057569,-0.002153,-0.171159,0.283768,-0.025588
-0.097665,-0.160215,-0.028900,-0.095286,-0.152012,-0.027859,-0.030643,-0.167010,-0.031698,-0.001192,-0.005087,-0.002603,-0.094413,-0.120723,-0.031815,-0.049081,-0.128219,-0.029759,-0.005218,-0.006683,0.002165,-0.098388,-0.172944,-0.027511,-0.134984,-0.255311,-0.024283,-0.121583,-0.293343,-0.018963,-0.150017,-0.355986,-0.007602,-0.116022,-0.136240,-0.037697,-0.126845,0.049517,-0.003193,-0.183077,0.293313,-0.022842
-0.107726,-0.170781,-0.035194,-0.111168,-0.170760,-0.039186,-0.025906,-0.238181,-0.046651,-0.001283,-0.008835,-0.000326,-0.109808,-0.129121,-0.033080,-0.057159,-0.128999,-0.030354,-0.006128,-0.007657,0.003034,-0.107190,-0.182891,-0.033959,-0.145615,-0.261926,-0.029807,-0.126651,-0.294203,-0.023389,-0.153958,-0.357805,-0.011192,-0.125976,-0.145824,-0.044919,-0.137629,0.041090,-0.006216,-0.192959,0.295800,-0.020523
-0.118511,-0.179138,-0.043723,-0.130367,-0.189200,-0.054856,-0.019345,-0.329117,-0.065647,-0.002126,-0.014441,0.005877,-0.128308,-0.135540,-0.034454,-0.066578,-0.131297,-0.030927,-0.007304,-0.008644,0.004512,-0.116085,-0.190579,-0.042657,-0.156302,-0.265651,-0.037442,-0.129488,-0.288287,-0.029622,-0.155363,-0.352446,-0.016634,-0.136239,-0.153514,-0.054561,-0.148181,0.032073,-0.012198,-0.201370,0.291050,-0.020197
-0.130239,-0.185025,-0.055860,-0.153037,-0.206922,-0.075943,-0.011696,-0.437043,-0.087952,-0.004081,-0.022942,0.018238,-0.150025,-0.140666,-0.037379,-0.077231,-0.136157,-0.032863,-0.008490,-0.009403,0.005684,-0.125286,-0.195491,-0.055007,-0.166911,-0.266247,-0.048825,-0.129781,-0.274764,-0.039233,-0.154021,-0.339262,-0.025481,-0.146882,-0.159940,-0.067941,-0.159055,0.022031,-0.022493,-0.209345,0.278886,-0.023853
-0.142687,-0.188564,-0.072600,-0.177967,-0.224014,-0.102287,-0.003524,-0.555483,-0.111106,-0.007366,-0.035820,0.039567,-0.173747,-0.145805,-0.043721,-0.088442,-0.144300,-0.038016,-0.009321,-0.009488,0.005177,-0.134800,-0.197303,-0.072048,-0.177220,-0.264012,-0.065234,-0.127482,-0.253999,-0.053418,-0.149784,-0.318432,-0.038991,-0.157901,-0.166302,-0.086110,-0.171008,0.010223,-0.038071,-0.218159,0.259021,-0.033032
