joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.583296,0.125113,-0.043301,0.199530,0.138685,0.049367,0.299736,0.091759,0.202247,0.947350,0.397939,0.194660,0.136378,-0.290420,-0.486647,0.285901,-0.337191,0.033638,-0.123087,-0.452120,0.329065,1.091880,1.272944,-0.087409,0.080445,0.027698,0.097029,0.062519,-0.105379
-0.599539,0.126179,-0.027156,0.190592,0.130682,0.042627,0.319429,0.096485,0.204938,0.848941,0.424991,0.223830,0.121425,-0.279037,-0.510392,0.290372,-0.344569,0.023469,-0.119029,-0.450879,0.336480,1.095410,1.237570,-0.085162,0.078404,0.030270,0.095671,0.060561,-0.105085
-0.609729,0.122456,-0.009413,0.177373,0.122922,0.036244,0.333659,0.100403,0.208430,0.736555,0.464019,0.253476,0.104074,-0.254260,-0.538959,0.293948,-0.353146,0.003140,-0.113815,-0.448510,0.345587,1.099618,1.195858,-0.083160,0.076438,0.032786,0.092884,0.058912,-0.105085
-0.616929,0.114563,0.008607,0.161694,0.117305,0.031437,0.334898,0.103734,0.211833,0.620708,0.512660,0.283859,0.083669,-0.222248,-0.568745,0.296735,-0.362098,-0.028128,-0.109304,-0.443637,0.356930,1.103499,1.150678,-0.080065,0.073062,0.035233,0.089535,0.057442,-0.106060
-0.622634,0.104584,0.026766,0.144785,0.112761,0.027418,0.329642,0.106772,0.215192,0.503132,0.566107,0.314609,0.061737,-0.186617,-0.599141,0.299128,-0.371237,-0.064866,-0.105145,-0.437512,0.369391,1.107216,1.103765,-0.076423,0.068982,0.037647,0.085905,0.056522,-0.107518
-0.630235,0.088959,0.043214,0.129472,0.111185,0.022987,0.303289,0.114696,0.217618,0.408484,0.633183,0.344799,0.034182,-0.167644,-0.634138,0.301142,-0.379108,-0.087164,-0.099584,-0.431210,0.382720,1.110544,1.051717,-0.073141,0.059511,0.039220,0.083485,0.054227,-0.110640
-0.639338,0.072358,0.058794,0.115920,0.109728,0.017599,0.274599,0.123039,0.221039,0.329586,0.705826,0.374752,0.006189,-0.147719,-0.670972,0.303678,-0.386414,-0.106417,-0.093669,-0.423894,0.395082,1.113258,0.995224,-0.068827,0.045280,0.041014,0.081289,0.050920,-0.114746
-0.651446,0.053803,0.072637,0.105894,0.109728,0.010298,0.241235,0.132222,0.226450,0.282186,0.789603,0.404233,-0.022677,-0.125891,-0.711484,0.307256,-0.392592,-0.119578,-0.087047,-0.414548,0.405510,1.114747,0.929843,-0.062450,0.021529,0.043251,0.079540,0.045588,-0.120822
-0.669864,0.046235,0.084670,0.100523,0.109718,0.003599,0.213384,0.139633,0.236533,0.286027,0.867782,0.430025,-0.050833,-0.116589,-0.752319,0.312241,-0.397059,-0.137541,-0.081951,-0.404305,0.414207,1.117175,0.855545,-0.055426,-0.005534,0.045494,0.077809,0.039836,-0.128615
-0.691439,0.044160,0.095798,0.097479,0.110116,-0.002800,0.188291,0.146158,0.248952,0.315487,0.943162,0.453973,-0.078635,-0.113550,-0.793315,0.317930,-0.400669,-0.157904,-0.077616,-0.393615,0.422037,1.120073,0.776788,-0.048079,-0.034252,0.047740,0.076086,0.033874,-0.137266
-0.751480,0.038882,0.100907,0.094479,0.103514,-0.013279,0.181453,0.144720,0.256070,0.428212,1.014861,0.468859,-0.104746,-0.061977,-0.840928,0.328759,-0.405994,-0.135010,-0.072230,-0.388762,0.431670,1.122565,0.678062,-0.045550,-0.065299,0.049809,0.072890,0.029676,-0.150736
-0.813558,0.042015,0.105672,0.092233,0.100046,-0.021093,0.171509,0.143301,0.267433,0.556103,1.074468,0.479404,-0.131489,-0.021465,-0.872670,0.340802,-0.411667,-0.111701,-0.067388,-0.387683,0.442487,1.127141,0.573263,-0.044212,-0.092533,0.051399,0.069788,0.027294,-0.163937
-0.879711,0.061972,0.109749,0.092233,0.102843,-0.023576,0.155353,0.143301,0.287289,0.714322,1.109888,0.481266,-0.159494,-0.003073,-0.872670,0.355275,-0.418037,-0.087560,-0.063637,-0.394153,0.455670,1.135886,0.456319,-0.044212,-0.112138,0.051399,0.066873,0.028543,-0.176600
-0.936489,0.079658,0.116368,0.086772,0.101646,-0.028578,0.146967,0.140457,0.310487,0.846871,1.147467,0.474918,-0.191919,0.020216,-0.872670,0.371212,-0.423523,-0.045812,-0.060857,-0.401295,0.470362,1.145436,0.335133,-0.041903,-0.119535,0.051203,0.064517,0.033569,-0.186221
-0.988578,0.096209,0.124259,0.078951,0.098452,-0.034839,0.142467,0.136880,0.335358,0.966584,1.186127,0.464465,-0.226554,0.045954,-0.872670,0.387882,-0.428893,0.004741,-0.058563,-0.408772,0.485808,1.155388,0.211826,-0.037918,-0.120396,0.050796,0.062442,0.040483,-0.194321
-1.022020,0.111997,0.143065,0.075432,0.089328,-0.044009,0.147427,0.134427,0.362844,1.059428,1.221649,0.453415,-0.281336,0.028046,-0.872670,0.402481,-0.428893,0.034151,-0.064965,-0.408772,0.514578,1.160897,0.109882,-0.037918,-0.109268,0.048400,0.056745,0.052041,-0.200596
-1.056182,0.125004,0.161513,0.073086,0.084219,-0.052378,0.150161,0.133750,0.387543,1.146918,1.254172,0.443024,-0.342801,0.006652,-0.872670,0.416407,-0.425601,0.056982,-0.072247,-0.407961,0.546692,1.165220,0.017733,-0.040265,-0.100119,0.044705,0.050832,0.064022,-0.205507
-1.091783,0.132450,0.179248,0.073086,0.084219,-0.059149,0.148443,0.133750,0.406668,1.223700,1.280699,0.433949,-0.417630,-0.021713,-0.872670,0.428984,-0.414747,0.066654,-0.081286,-0.407961,0.585494,1.167172,-0.054824,-0.047554,-0.094924,0.038412,0.044483,0.076851,-0.207691
-1.128612,0.136276,0.194802,0.071883,0.087574,-0.066416,0.146204,0.134709,0.419413,1.287928,1.296401,0.427280,-0.497910,-0.046364,-0.872670,0.439920,-0.397522,0.072584,-0.090015,-0.405699,0.623101,1.165527,-0.111139,-0.053049,-0.097148,0.032192,0.039098,0.087939,-0.205745
-1.166056,0.138292,0.209268,0.069767,0.091725,-0.073930,0.143703,0.135247,0.428969,1.345878,1.306099,0.421814,-0.580917,-0.069157,-0.872670,0.450037,-0.377112,0.077474,-0.098588,-0.402446,0.660112,1.162082,-0.159333,-0.057648,-0.103081,0.026007,0.034194,0.098157,-0.201734
