joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.533869,0.097519,0.033065,-0.409134,-0.291633,-0.148019,0.091446,-0.072630,-0.126657,-1.025848,0.072338,-0.133456,-0.288857,0.152747,-0.061189,-0.177853,0.080307,0.158868,0.148825,-0.075045,0.036770,0.270081,-0.514847,0.124523,0.211367,-0.009565,-0.176408,-0.098597,-0.199487
0.555589,0.083851,0.028049,-0.439904,-0.314371,-0.158587,0.083667,-0.108626,-0.117130,-1.048553,0.045741,-0.139656,-0.254239,0.184054,-0.047319,-0.187488,0.079846,0.168419,0.152907,-0.066610,0.102800,0.332433,-0.431857,0.076654,0.207166,0.001907,-0.166767,-0.073703,-0.175898
0.516447,0.096664,0.071156,-0.457019,-0.343702,-0.192950,0.000000,0.000000,-0.061766,-0.884923,0.139518,0.000000,-0.129218,0.234315,-0.092030,-0.168870,0.065133,0.163190,0.158788,-0.140676,0.306751,0.527400,-0.202838,-0.116271,0.155087,0.000000,-0.111885,-0.092589,-0.067553
0.460026,0.032010,0.090424,-0.455462,-0.357232,-0.202407,0.021832,-0.036214,-0.068202,-0.803411,0.193302,-0.025590,-0.105707,0.231154,-0.111162,-0.161527,0.075786,0.159998,0.167528,-0.160614,0.347841,0.584584,-0.085804,-0.165498,0.130139,-0.013980,-0.112948,-0.097746,-0.019588
0.347190,0.000000,0.128961,-0.452337,-0.384292,-0.221323,0.000000,0.000000,-0.081071,-0.640389,0.300868,0.000000,0.000000,0.224829,-0.149418,-0.146836,0.097075,0.153612,0.185005,-0.200495,0.430031,0.698996,0.000000,-0.263948,0.080243,0.000000,0.000000,-0.108063,0.000000
0.270392,-0.086915,0.135176,-0.406682,-0.375765,-0.173894,0.008061,0.014092,-0.048499,-0.453311,0.392314,0.052493,0.036981,0.156081,-0.199150,-0.140592,0.122634,0.146007,0.174306,-0.235876,0.434951,0.780499,0.293261,-0.337142,0.010508,0.030052,-0.024604,-0.151289,0.106179
0.231993,-0.081723,0.138282,-0.383855,-0.371500,-0.150179,-0.003921,0.014918,-0.021476,-0.359766,0.438032,0.064212,0.084811,0.160751,-0.224017,-0.137466,0.135408,0.142203,0.168956,-0.253569,0.437413,0.821239,0.365773,-0.373735,-0.016237,0.055620,0.059406,-0.172902,0.121097
0.192822,-0.070861,0.122833,-0.305182,-0.335539,-0.103193,0.000000,0.000000,0.099374,-0.144687,0.544764,0.102565,0.110891,0.000000,-0.248654,-0.079774,0.110386,0.153300,0.158171,-0.404732,0.592837,0.864601,0.580961,-0.437768,-0.141551,0.000000,0.000000,-0.256119,0.217345
0.196890,-0.089896,0.118388,-0.299601,-0.341682,-0.100159,-0.015845,0.033480,0.126667,-0.120346,0.601995,0.110943,0.114611,0.039040,-0.270404,-0.099456,0.116439,0.157496,0.160219,-0.425848,0.585920,0.879914,0.647822,-0.477142,-0.185912,0.077092,0.074620,-0.268368,0.265868
0.205031,-0.127969,0.109497,-0.288443,-0.353970,-0.094092,0.000000,0.000000,0.181261,-0.071682,0.716445,0.127702,0.122051,0.000000,-0.313907,0.000000,0.128542,0.165890,0.164317,-0.468081,0.572081,0.910544,0.781536,-0.555896,-0.274642,0.000000,0.086904,-0.292872,0.362916
0.258851,-0.141400,0.124322,-0.313729,-0.389021,-0.110844,0.066572,0.084330,0.252406,-0.100893,0.800587,0.159311,0.124721,0.031672,-0.341738,-0.046275,0.118282,0.178310,0.169387,-0.486237,0.566129,0.851512,0.866443,-0.584729,-0.372191,0.103299,0.111716,-0.318104,0.461038
0.285760,-0.148117,0.131734,-0.326370,-0.406545,-0.119220,0.070625,0.073864,0.287978,-0.115493,0.842655,0.175115,0.126053,0.000000,-0.355650,0.000000,0.113152,0.184520,0.171922,-0.495309,0.563151,0.821984,0.908905,-0.599144,-0.420961,0.091650,0.124122,-0.330720,0.510098
0.394712,-0.116228,0.152246,-0.372082,-0.438298,-0.152193,0.123826,0.124711,0.308669,-0.227948,0.842784,0.279663,0.212117,0.038376,-0.392093,0.008326,0.119956,0.175764,0.187140,-0.372471,0.424424,0.710720,0.982356,-0.372182,-0.422747,0.113643,0.153123,-0.257304,0.371343
0.412159,-0.123288,0.141706,-0.400927,-0.457084,-0.174545,0.126752,0.143020,0.302482,-0.270645,0.857040,0.301714,0.220672,0.076469,-0.486304,0.041426,0.128165,0.177940,0.202606,-0.351970,0.410518,0.675452,1.004821,-0.358049,-0.394646,0.109514,0.165517,-0.248170,0.335565
0.447057,-0.137407,0.120626,-0.458619,-0.494664,-0.219251,0.132602,0.179646,0.290105,-0.356035,0.885575,0.345820,0.237785,0.000000,-0.674734,0.000000,0.144587,0.182293,0.233541,-0.310962,0.382702,0.604981,1.049757,-0.329789,-0.338456,0.101259,0.190307,-0.229903,0.264015
0.424448,-0.213793,0.095142,-0.478238,-0.501130,-0.248889,0.159813,0.215197,0.216968,-0.439222,0.889277,0.401400,0.293717,0.104447,-0.664204,0.071730,0.155580,0.174898,0.208369,-0.242431,0.280103,0.494897,1.002228,-0.319118,-0.261944,0.092656,0.205837,-0.229940,0.207540
0.413140,-0.251982,0.082399,-0.488044,-0.504360,-0.263706,0.173418,0.232977,0.180396,-0.480811,0.891110,0.429186,0.321681,0.085852,-0.658935,0.067151,0.161082,0.171200,0.195782,-0.208172,0.228800,0.439858,0.978458,-0.313781,-0.223689,0.088353,0.213601,-0.229956,0.179299
0.441298,-0.168533,0.000000,-0.484557,-0.479158,-0.268606,0.127198,0.148812,0.158747,-0.600757,0.702363,0.454753,0.393925,0.177365,-0.476429,0.103290,0.116267,0.154852,0.141362,-0.178589,0.161344,0.310713,0.783229,-0.254021,-0.153223,0.066735,0.203575,-0.230335,0.110676
0.418937,-0.145130,-0.037838,-0.452537,-0.431992,-0.240059,0.112166,0.120510,0.124431,-0.643936,0.573081,0.444624,0.413794,0.208389,-0.383379,0.101310,0.103144,0.142113,0.129746,-0.174709,0.133435,0.294584,0.729042,-0.256476,-0.125844,0.071289,0.196319,-0.220397,0.104808
0.374212,-0.098326,0.000000,-0.388494,-0.337663,-0.182961,0.082096,0.063905,0.000000,-0.730300,0.314508,0.424366,0.453533,0.270437,-0.197278,0.097346,0.076894,0.116635,0.106512,-0.166951,0.077613,0.262278,0.620663,-0.261386,-0.071066,0.000000,0.181807,-0.200520,0.093071
0.304528,-0.050828,-0.130796,-0.301399,-0.227080,-0.107986,0.027364,-0.027721,-0.076555,-0.787365,0.035474,0.371568,0.500513,0.310688,-0.015476,0.072838,0.053059,0.093077,0.131284,-0.094742,0.025874,0.260901,0.474083,-0.249860,-0.065827,0.052031,0.148207,-0.171550,0.082995
0.269687,-0.018053,-0.120549,-0.257854,-0.185307,-0.026025,0.011265,-0.049023,-0.142731,-0.815904,-0.104044,0.345173,0.524008,0.330815,0.075416,0.040390,0.012586,0.115908,0.143671,-0.063787,0.001112,0.260204,0.400770,-0.244099,-0.082808,0.075728,0.131408,-0.157065,0.077958
0.162272,0.000000,-0.177419,-0.117069,0.000000,0.000000,0.000000,-0.139255,-0.269120,-0.820073,-0.392707,0.236695,0.534622,0.343627,0.264843,0.000000,0.000000,0.000000,0.090119,0.000000,-0.096400,0.271833,0.243551,-0.250834,0.000000,0.000000,0.102897,-0.154249,0.088767
0.142608,0.020992,-0.154994,-0.118507,0.030151,0.075587,0.009637,-0.135937,-0.288876,-0.790406,-0.425890,0.204905,0.519885,0.326416,0.277650,-0.041491,-0.035052,0.034609,0.090061,0.001894,-0.105569,0.257534,0.208533,-0.239278,-0.085493,0.078975,0.095995,-0.149284,0.097647
0.103276,0.000000,-0.110140,0.000000,0.000000,0.093333,0.000000,-0.129299,-0.328384,-0.731064,-0.492252,0.141320,0.490400,0.291991,0.303243,-0.073598,-0.060638,0.000000,0.089942,0.079760,-0.123917,0.228947,0.138527,-0.216161,0.000000,0.085439,0.082190,-0.139348,0.115402
0.107059,0.052991,-0.077302,-0.040460,0.108952,0.071252,0.069800,-0.066958,-0.281331,-0.609192,-0.453240,0.086771,0.418269,0.214027,0.301169,-0.087492,-0.079543,-0.006180,0.059983,0.111337,-0.096352,0.155014,0.046176,-0.197909,-0.044824,0.079946,0.066953,-0.112622,0.130812
0.108950,0.022870,-0.073511,0.042840,0.097924,0.099950,0.080332,0.013195,-0.257803,-0.548254,-0.433725,-0.007784,0.382203,0.202863,0.300132,-0.094439,-0.088993,-0.010622,0.053135,0.127120,-0.082567,0.097430,-0.015539,-0.188782,-0.017466,0.118206,0.060393,-0.135548,0.138516
0.076804,0.065992,0.000000,0.000000,0.119482,0.000000,0.072271,0.000000,-0.148436,-0.239465,-0.340566,0.000000,0.221227,0.000000,0.241113,-0.086127,-0.109726,0.000000,0.000000,0.068256,-0.065537,0.000000,-0.080192,-0.129670,0.074647,0.000000,0.000000,0.000000,0.134467
0.081875,0.083262,-0.012628,0.063893,0.116098,0.055728,0.070208,0.071128,-0.120372,-0.118671,-0.298625,-0.097057,0.185127,-0.010451,0.215602,-0.078204,-0.101835,0.013855,0.023133,0.069927,-0.073871,-0.079328,-0.078553,-0.109145,0.073125,0.041006,0.030422,-0.036289,0.110153
