body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.013544,-0.031012,-0.000636,-0.011873,-0.007122,-0.001157,0.002120,-0.010020,0.001576,0.001298,-0.001661,0.004261,-0.015655,-0.070036,-0.000218,0.003095,-0.007974,-0.004847,-0.001444,0.000122,-0.004260,-0.013083,-0.026324,-0.000955,0.010124,0.028934,-0.002535,0.008235,-0.036445,-0.007022,-0.049571,-0.242785,0.032918,0.006694,-0.041126,0.009360,-0.014716,-0.194490,0.010317,0.071181,-0.557395,0.088380
-0.001372,-0.033611,0.003723,0.002477,-0.006712,0.004489,0.002783,0.015641,0.000173,0.000147,0.000268,-0.004657,-0.001051,-0.068881,0.002184,0.010039,-0.008664,-0.002617,-0.000906,0.000039,-0.002737,-0.001320,-0.030011,0.003495,0.020900,0.022362,0.001592,0.012319,-0.043314,-0.004276,-0.043593,-0.225211,0.034528,0.018414,-0.036680,0.015097,0.001975,-0.186290,0.017099,0.087458,-0.535411,0.106570
0.011098,-0.035534,0.007801,0.017036,-0.006229,0.009891,0.003556,0.040283,-0.001167,-0.001129,0.002337,-0.013079,0.013852,-0.066023,0.004290,0.016556,-0.010073,-0.000554,-0.000481,0.000005,-0.001214,0.010625,-0.033195,0.007681,0.031459,0.016780,0.005836,0.016561,-0.048552,-0.001282,-0.035588,-0.203500,0.034451,0.029649,-0.033925,0.019810,0.018489,-0.177306,0.022565,0.103114,-0.506790,0.120189
0.023396,-0.037008,0.011558,0.031327,-0.005759,0.014985,0.004113,0.063865,-0.002337,-0.002281,0.004336,-0.020865,0.028504,-0.062616,0.006109,0.022516,-0.012631,0.001304,-0.000149,-0.000104,0.000338,0.022325,-0.035896,0.011546,0.041754,0.012491,0.009970,0.020844,-0.051180,0.001733,-0.026137,-0.177591,0.032673,0.040392,-0.033016,0.023655,0.034588,-0.168016,0.026829,0.118409,-0.472676,0.128702
0.035148,-0.038284,0.014922,0.044974,-0.005463,0.019686,0.004357,0.085934,-0.003210,-0.003055,0.006065,-0.027752,0.042478,-0.059850,0.007607,0.027923,-0.016661,0.002879,0.000155,-0.000503,0.001871,0.033447,-0.038146,0.015000,0.051728,0.009712,0.013769,0.025202,-0.050568,0.004564,-0.015570,-0.147840,0.029371,0.050632,-0.033861,0.026755,0.049961,-0.158871,0.030027,0.133285,-0.434400,0.131913
0.046129,-0.039577,0.017779,0.057795,-0.005651,0.023920,0.004560,0.105280,-0.003565,-0.003219,0.007363,-0.033172,0.055567,-0.058563,0.008659,0.032875,-0.022201,0.004011,0.000494,-0.001279,0.003226,0.043786,-0.039982,0.017915,0.061339,0.008474,0.016999,0.029913,-0.046591,0.007038,-0.003733,-0.114975,0.024831,0.060383,-0.036166,0.029164,0.064239,-0.150190,0.032302,0.147250,-0.393238,0.129949
0.056235,-0.040975,0.020009,0.069731,-0.006628,0.027624,0.005305,0.120023,-0.003107,-0.002644,0.008067,-0.036342,0.067718,-0.059002,0.009113,0.037470,-0.028936,0.004531,0.000905,-0.002170,0.004230,0.053252,-0.041426,0.020164,0.070583,0.008600,0.019431,0.035322,-0.039600,0.008988,0.009711,-0.079779,0.019283,0.069698,-0.039491,0.030916,0.077178,-0.141992,0.033778,0.159687,-0.350069,0.123145
0.065414,-0.042357,0.021510,0.080703,-0.008419,0.030701,0.007254,0.128260,-0.001608,-0.001385,0.008061,-0.036584,0.078874,-0.060759,0.008893,0.041674,-0.036402,0.004379,0.001346,-0.002748,0.004831,0.061823,-0.042438,0.021651,0.079481,0.009785,0.020858,0.041587,-0.030240,0.010212,0.024773,-0.042829,0.012785,0.078656,-0.043302,0.032057,0.088812,-0.133887,0.034524,0.170210,-0.305177,0.111933
0.073626,-0.043359,0.022193,0.090552,-0.010646,0.032973,0.010853,0.128878,0.000891,0.000295,0.007370,-0.033729,0.088904,-0.062915,0.008017,0.045282,-0.044326,0.003628,0.001716,-0.002805,0.005122,0.069503,-0.042855,0.022299,0.087995,0.011719,0.021130,0.048582,-0.019257,0.010516,0.040969,-0.004611,0.005328,0.087264,-0.047034,0.032573,0.099386,-0.125211,0.034468,0.178696,-0.258440,0.096739
0.080868,-0.043489,0.021948,0.099084,-0.012687,0.034160,0.016148,0.122063,0.003967,0.001986,0.006166,-0.028337,0.097635,-0.064406,0.006546,0.048030,-0.052699,0.002422,0.001962,-0.002444,0.005268,0.076328,-0.042400,0.022012,0.095918,0.014149,0.020207,0.055976,-0.007401,0.009818,0.057550,0.034115,-0.002916,0.095342,-0.050183,0.032278,0.109167,-0.115369,0.033312,0.185084,-0.209796,0.077936
0.087189,-0.042359,0.020674,0.106141,-0.014014,0.033948,0.022763,0.109200,0.006898,0.003261,0.004694,-0.021564,0.104917,-0.064509,0.004569,0.049737,-0.061591,0.000914,0.002124,-0.001884,0.005438,0.082380,-0.040801,0.020699,0.102866,0.016818,0.018202,0.063357,0.004621,0.008223,0.073763,0.072211,-0.011474,0.102509,-0.052381,0.030827,0.118260,-0.104114,0.030620,0.189193,-0.159585,0.055919
0.092648,-0.039867,0.018366,0.111610,-0.014487,0.032135,0.030052,0.092308,0.008940,0.003864,0.003162,-0.014730,0.110638,-0.063160,0.002233,0.050352,-0.071035,-0.000728,0.002263,-0.001400,0.005791,0.087730,-0.037908,0.018348,0.108414,0.019374,0.015352,0.070338,0.016251,0.005985,0.088971,0.108528,-0.019711,0.108326,-0.053439,0.027925,0.126502,-0.091596,0.026090,0.190641,-0.108573,0.031327
0.097258,-0.036217,0.015186,0.115473,-0.014394,0.028802,0.037320,0.073490,0.009644,0.003863,0.001686,-0.008857,0.114766,-0.060859,-0.000266,0.049953,-0.081031,-0.002317,0.002432,-0.001290,0.006472,0.092393,-0.033749,0.015111,0.112308,0.021367,0.011931,0.076675,0.027098,0.003393,0.102707,0.142212,-0.027061,0.112517,-0.053344,0.023567,0.133486,-0.078228,0.019858,0.188957,-0.057845,0.005282
0.101013,-0.031784,0.011448,0.117925,-0.014215,0.024391,0.044003,0.054729,0.009016,0.003615,0.000318,-0.004450,0.117477,-0.058209,-0.002789,0.048758,-0.091507,-0.003733,0.002739,-0.001684,0.007569,0.096324,-0.028530,0.011291,0.114604,0.022349,0.008170,0.082321,0.036847,0.000668,0.114727,0.172595,-0.033141,0.115107,-0.052211,0.018121,0.138777,-0.064518,0.012527,0.183827,-0.008727,-0.020587
