joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.329054,-0.149827,0.000146,0.112269,0.024577,0.006033,0.136789,-0.131523,0.057633,0.832189,0.438313,-0.032847,-0.105686,-0.316428,-0.475674,0.503256,-0.422931,-0.011961,0.024253,-0.168438,0.191010,0.685217,0.195742,-0.284625,-0.103407,-0.124160,-0.144143,0.050275,-0.071301
-0.371643,-0.113895,0.009314,0.105332,0.015182,-0.004411,0.126448,-0.164505,0.063022,0.891525,0.401445,-0.118939,-0.174016,-0.287187,-0.466432,0.519610,-0.457480,-0.016213,0.027334,-0.204980,0.204824,0.638372,0.163915,-0.289559,-0.056895,-0.124736,-0.143438,0.043107,-0.087669
-0.410280,-0.072179,0.009314,0.083413,0.009009,-0.017876,0.114464,-0.205807,0.066455,0.910041,0.354206,-0.209072,-0.258575,-0.284810,-0.459308,0.509180,-0.481201,-0.027391,0.030172,-0.275367,0.235228,0.570196,0.150640,-0.288212,-0.029820,-0.133531,-0.144785,0.034945,-0.095234
-0.446677,-0.029104,0.007458,0.065050,0.006270,-0.030867,0.109301,-0.248908,0.070589,0.919303,0.305524,-0.297554,-0.348662,-0.285708,-0.451282,0.493289,-0.501232,-0.034216,0.031449,-0.354377,0.271398,0.491471,0.141072,-0.290184,-0.009099,-0.144629,-0.146400,0.023238,-0.100205
-0.478593,0.016688,0.000665,0.053801,0.010399,-0.042911,0.117781,-0.295605,0.076121,0.910054,0.253959,-0.382734,-0.449802,-0.293157,-0.441449,0.466477,-0.513882,-0.034216,0.029606,-0.450634,0.319101,0.391648,0.141072,-0.298797,-0.001089,-0.160334,-0.148553,0.004442,-0.100205
-0.504112,0.061697,-0.004160,0.048800,0.020386,-0.050183,0.137473,-0.342218,0.082903,0.890632,0.208298,-0.465210,-0.552140,-0.307162,-0.437610,0.433244,-0.519088,-0.022254,0.027004,-0.551507,0.369318,0.278272,0.142674,-0.308770,0.013622,-0.174290,-0.151759,-0.020290,-0.096038
-0.526433,0.106314,-0.008001,0.046922,0.033302,-0.055068,0.162770,-0.388789,0.090309,0.866122,0.165589,-0.546334,-0.655077,-0.324446,-0.437048,0.396802,-0.520078,-0.005250,0.024024,-0.654688,0.420792,0.158120,0.146153,-0.319883,0.031683,-0.187370,-0.155492,-0.047990,-0.089894
-0.539798,0.141721,0.001966,0.045421,0.049295,-0.051846,0.193022,-0.430831,0.093215,0.834404,0.145156,-0.612576,-0.748691,-0.343652,-0.447267,0.351087,-0.510623,0.012099,0.025529,-0.732283,0.462011,0.023830,0.155150,-0.319883,0.054192,-0.191947,-0.158159,-0.066119,-0.087027
-0.549302,0.174312,0.018338,0.042369,0.065484,-0.047288,0.219021,-0.469322,0.094280,0.800532,0.132191,-0.667063,-0.833977,-0.360329,-0.458943,0.310444,-0.498401,0.026141,0.027631,-0.793433,0.497457,-0.114411,0.164993,-0.322273,0.074443,-0.193534,-0.160447,-0.080964,-0.085771
-0.551085,0.201272,0.047516,0.036218,0.082067,-0.040054,0.236513,-0.500711,0.091663,0.762352,0.134162,-0.698035,-0.902608,-0.371948,-0.473536,0.279944,-0.480647,0.033567,0.030928,-0.821695,0.521357,-0.260554,0.176525,-0.328059,0.090177,-0.189142,-0.161975,-0.089240,-0.085771
-0.553222,0.219238,0.093813,0.023149,0.093857,-0.035941,0.233710,-0.526446,0.085316,0.728950,0.150332,-0.684815,-0.946128,-0.295189,-0.493104,0.332295,-0.476561,0.104812,0.034566,-0.815969,0.542476,-0.460676,0.165037,-0.355345,0.115176,-0.170571,-0.164957,-0.086136,-0.091429
-0.555537,0.232707,0.148671,0.006622,0.103250,-0.033387,0.220759,-0.549354,0.077103,0.697936,0.173603,-0.649498,-0.977092,-0.174239,-0.515160,0.426071,-0.479308,0.207966,0.038375,-0.793248,0.562205,-0.687790,0.142038,-0.393380,0.144807,-0.144911,-0.168664,-0.077341,-0.098934
-0.567549,0.240893,0.230173,-0.000777,0.107881,-0.039279,0.192506,-0.562448,0.065582,0.753254,0.220936,-0.620879,-0.958624,-0.176951,-0.545232,0.567589,-0.524397,0.235514,0.047442,-0.703836,0.582079,-0.838311,0.059289,-0.422910,0.165654,-0.131649,-0.172546,-0.064976,-0.101390
